HOSTNAME,UPTIME,TIME,CPU_UTIL,MEM_UTIL,Week
AMD-S2-HV002,255,21:08:44,68,86,10-12-2018
AMD-S2-HV004,38,16:32:34,75,34,10-12-2018
AMD-S3-HV002,591,00:56:16,22,46,10-12-2018
AMD-S3-HV003,591,00:43:47,14,69,10-12-2018
AMD-S3-HV101,588,22:17:31,7,41,10-12-2018
AMD-S3-HV104,591,00:32:31,92,22,10-12-2018
AMD-S3-HV105,591,00:22:54,7,55,10-12-2018
AMD-S3-HV106,591,00:12:55,13,98,10-12-2018
AMD-S3-HV107,591,00:02:52,39,5,10-12-2018
AMD-S3-HV108,590,23:53:16,5,5,10-12-2018
AMD-S3-HV109,81,22:43:16,52,54,10-12-2018
AMD-S3-HV110,584,21:38:46,28,39,10-12-2018
AMD-S3-HV111,590,23:38:01,38,45,10-12-2018
AMD-S3-HV112,590,23:30:22,38,14,10-12-2018
AMD-STATIC-BK001,35,03:15:16,72,74,10-12-2018
AMDHVS001,157,12:25:35,56,12,10-12-2018
AMDHVS003,131,10:03:26,37,77,10-12-2018
AMDHVS005,661,21:07:10,57,9,10-12-2018
AMD-S2-HV002,255,21:08:44,52,54,17-12-2018
AMD-S2-HV004,38,16:32:34,65,47,17-12-2018
AMD-S3-HV002,591,00:56:16,79,41,17-12-2018
AMD-S3-HV003,591,00:43:47,65,17,17-12-2018
AMD-S3-HV101,588,22:17:31,5,57,17-12-2018
AMD-S3-HV104,591,00:32:31,24,98,17-12-2018
AMD-S3-HV105,591,00:22:54,43,58,17-12-2018
AMD-S3-HV106,591,00:12:55,95,86,17-12-2018
AMD-S3-HV107,591,00:02:52,5,34,17-12-2018
AMD-S3-HV108,590,23:53:16,22,25,17-12-2018
AMD-S3-HV109,81,22:43:16,73,47,17-12-2018
AMD-S3-HV110,584,21:38:46,60,35,17-12-2018
AMD-S3-HV111,590,23:38:01,98,35,17-12-2018
AMD-S3-HV112,590,23:30:22,15,69,17-12-2018
AMD-STATIC-BK001,35,03:15:16,47,28,17-12-2018
AMDHVS001,157,12:25:35,55,94,17-12-2018
AMDHVS003,131,10:03:26,93,16,17-12-2018
AMDHVS005,661,21:07:10,56,35,17-12-2018
