HOSTNAME,UPTIME,TIME,CPU_UTIL,MEM_UTIL,Week
FDB-S1-HV001,70,23:01:14,91,43,10-12-2018
FDB-S1-HV003,680,22:47:41,63,9,10-12-2018
FDB-S1-HV005,452,23:18:49,9,43,10-12-2018
FDB-S2-HV002,354,23:18:52,55,25,10-12-2018
FDB-S2-HV004,99,16:30:20,36,49,10-12-2018
FDB-STATIC-BK001,31,18:58:00,30,40,10-12-2018
FDB-S1-HV001,70,23:01:14,80,33,17-12-2018
FDB-S1-HV003,680,22:47:41,38,13,17-12-2018
FDB-S1-HV005,452,23:18:49,77,38,17-12-2018
FDB-S2-HV002,354,23:18:52,49,12,17-12-2018
FDB-S2-HV004,99,16:30:20,55,29,17-12-2018
FDB-STATIC-BK001,31,18:58:00,17,19,17-12-2018
