HOSTNAME,UPTIME,TIME,CPU_UTIL,MEM_UTIL,Week
MUM-C1-HV001,131,18:41:08,76,30,10-12-2018
MUM-C1-HV002,489,20:11:38,20,25,10-12-2018
MUM-C1-HV003,131,18:44:14,83,56,10-12-2018
MUM-C1-HV004,437,00:24:28,25,52,10-12-2018
MUM-C1-HV005,131,15:24:51,58,12,10-12-2018
MUM-C1-HV006,489,20:13:45,95,32,10-12-2018
MUM-C1-HV007,131,15:28:21,12,42,10-12-2018
MUM-C1-HV008,489,19:21:27,66,51,10-12-2018
MUM-CLOUDBOOT OT-BK001,6,16:11:07,12,13,10-12-2018
MUM-S1-HV001,125,15:06:49,86,65,10-12-2018
MUM-S1-HV002,757,18:54:19,65,61,10-12-2018
MUM-S1-HV003,120,15:13:08,54,79,10-12-2018
MUM-S2-HV001,127,09:46:41,38,5,10-12-2018
MUM-S2-HV002,127,09:27:00,98,41,10-12-2018
MUM-S2-HV003,32,05:55:43,8,60,10-12-2018
MUM-STATIC-BK002,182,17:28:53,47,50,10-12-2018
MUM-C1-HV001,131,18:41:08,63,62,17-12-2018
MUM-C1-HV002,489,20:11:38,98,8,17-12-2018
MUM-C1-HV003,131,18:44:14,73,63,17-12-2018
MUM-C1-HV004,437,00:24:28,54,56,17-12-2018
MUM-C1-HV005,131,15:24:51,44,44,17-12-2018
MUM-C1-HV006,489,20:13:45,5,49,17-12-2018
MUM-C1-HV007,131,15:28:21,44,58,17-12-2018
MUM-C1-HV008,489,19:21:27,95,16,17-12-2018
MUM-CLOUDBOOT OT-BK001,6,16:11:07,37,39,17-12-2018
MUM-S1-HV001,125,15:06:49,33,38,17-12-2018
MUM-S1-HV002,757,18:54:19,34,13,17-12-2018
MUM-S1-HV003,120,15:13:08,59,5,17-12-2018
MUM-S2-HV001,127,09:46:41,74,18,17-12-2018
MUM-S2-HV002,127,09:27:00,90,75,17-12-2018
MUM-S2-HV003,32,05:55:43,98,60,17-12-2018
MUM-STATIC-BK002,182,17:28:53,22,35,17-12-2018
